Gene.Symbol,minuslog_pval,qval,log2FC
Micu1,5.43851170,0.00000000,-3.96278393
Lars2,16.40534246,0.00000000,-2.56732174
Aldh1l2,4.68163209,0.00000000,-2.55698581
Tysnd1,4.92437167,0.00000000,-2.55204531
Sptbn1,6.27609259,0.00000000,-2.50834352
Anxa5,5.66960918,0.00000000,-2.66087787
Gsn,5.14458402,0.00851900,-2.65144376
Itpr1,4.74436148,0.00000000,-2.41617443
Atp1a4,5.58042131,0.00402410,-2.34562855
Col6a1,4.84103430,0.00000000,-2.17722219
Uggt1,4.52034741,0.00000000,-2.16221162
Vil1,4.48412660,0.00000000,-2.11782038
Klhdc7a,4.44727096,0.00000000,-2.07564481
Canx,9.97091210,0.00000000,-2.03413260
Slc12a3,5.88978524,0.00000000,-1.85647138
Gpt2,4.82009984,0.00000000,-1.80243514
Myh9,5.94730400,0.00000000,-1.76084575
Lamb1,4.92212714,0.00000000,-1.64928125
Rbfa,4.70151463,0.00000000,-1.62462685
Rfk,9.04592907,0.00000000,-1.58757249
Afg3l1,4.68681264,0.00000000,-1.50371987
Gm4450,4.69275511,0.00000000,-1.44077324
Nudt13,4.51074144,0.00000000,-1.38250140
Gpam,5.23207305,0.00000000,-1.35574876
Sardh,12.52249804,0.00000000,-1.29547704
Mrps17,5.10317575,0.00000000,-1.20900556
Tmlhe,4.56093893,0.00000000,-1.06489047
Endog,5.60539500,0.00000000,-1.01901975
Ccbl2,6.93869281,0.00000000,-0.97174642
Sco1,6.21882515,0.00000000,-0.96358837
Ckmt1,4.74411665,0.00000000,-0.96048292
Opa1,4.60055707,0.00000000,-0.94711290
Dhtkd1,4.36247920,0.00000000,-0.91797517
Rdh12,4.77326102,0.00973390,-0.88297972
Fis1,5.01710836,0.00000000,-0.84495457
Cecr5,4.57536902,0.00000000,-0.72380276
Usmg5,5.46128464,0.00000000,-0.66842770
Mtfr1,5.11460985,0.00000000,-0.58773069
Lactb,4.86075727,0.00000000,-0.57094869
Isca2,7.11472416,0.00000000,-0.51529347
Phb,4.43919385,0.00000000,-0.37398873
Mrrf,5.26687540,0.00000000,-0.37286858
Madd,8.93946712,1.00000000,5.00000000
Adck2,6.53368275,0.00000000,-5.00000000
Abca3,4.37290689,0.00000000,5.00000000
Dtd1,6.77698095,0.00000000,2.55305793
Abr,9.05390995,1.00000000,2.48881858
Crls1,5.98370183,0.00000000,1.63766231
Atpif1,5.45939281,0.00000000,1.60865757
Pnkd,4.40098689,0.00000000,1.57596738
Bnip3,6.33339289,0.00000000,1.56135331
Elmod2,6.00335462,0.00000000,1.31332227
Arl8b,4.37392327,0.00000000,1.10656940
Rpl23a,6.26620639,0.00000000,1.10419566
Mrps36,5.19339620,0.00000000,1.03297688
Chchd1,5.57034565,0.00000000,1.01048451
Timm22,5.52233274,0.00000000,0.95308454
Ccdc127,4.55848298,0.00000000,0.91175478
Nme4,5.20792006,0.00000000,0.82778442
Slc25a30,5.39341214,0.00000000,0.82107684
Mtfr1l,4.44647256,0.00000000,0.72408317
Msra,4.36428645,0.00000000,0.58726516
Acss3,4.53840726,0.00000000,0.51810638
Acot1,5.59625459,0.00000000,0.21207482
Cubn,1.78398012,0.00000000,-7.04404699
Galns,1.34366837,0.00000000,-5.94680008
Tdrd6,1.33917956,1.00000000,-5.87682311
Smpdl3a,1.91350633,0.00000000,-5.29154595
,2.41620247,0.00000000,-4.91220286
Vps13a,3.43095884,0.00000000,-3.46761842
Pdpr,3.31032252,0.00000000,-3.37535995
Lrp2,2.88966223,0.00000000,-3.24624949
Uqcr11,2.26977549,0.00000000,-3.03435170
Myh10,1.74448464,0.00912650,-3.00820673
Romo1,2.16722057,0.00000000,-2.66592748
Sptan1,3.97381767,0.00000000,-2.61569478
mt-Nd4;Mtnd4,2.76160369,0.00000000,-2.52790493
Vps13d,4.21811904,0.00000000,-2.44749937
Hist1h2al;Hist2h2ac;Hist2h2aa1,1.59709813,0.00000000,-2.43705710
Mtnd1,3.03622800,0.00000000,-2.27157124
