Gene.Symbol,qval,log2FC,minuslog_pval
Hsp90ab1,0.00000000,-1.30184195,5.82586820
Vdac2,0.00000000,-1.28527546,5.36106442
Lyrm2,0.00059277,5.00000000,5.86781124
Glyr1,0.00000000,-2.82511580,7.72953364
Rdh19;Rdh1,0.00000000,-1.79985582,4.69126162
Lyrm7,0.00000000,-1.63978751,5.57310163
Tsfm,0.00000000,-1.28573679,6.34364336
Ptcd1,0.00000000,-1.25049139,4.52377799
Pars2,0.00000000,-1.20793638,6.31479440
Ptges2,0.00000000,-1.19656117,4.90401584
Fahd2,0.00000000,-1.18681945,8.51131371
Mcu,0.00000000,-1.07633213,4.91467457
Mtch2,0.00000000,-0.99172228,7.79952776
Mrpl44,0.00000000,-0.98534685,5.79731236
C12orf65 homolog,0.00000000,-0.97879328,5.15166979
Lactb2,0.00000000,-0.96455186,4.49622885
Keg1,0.00000000,-0.95860822,8.03440428
Trap1,0.00000000,-0.93518675,5.15133207
Gls2,0.00000000,-0.88706878,6.06883274
Vdac1,0.00000000,-0.86329468,5.59910957
Hspa9,0.00000000,-0.85019289,8.00478996
D2hgdh,0.00000000,-0.84860394,6.04176316
Tfb1m,0.00000000,-0.84529196,7.77995366
Slc22a18,0.00000000,-0.78294209,4.47234445
Tmem126a,0.00000000,-0.77624209,5.13257407
mt-Co3,0.00000000,-0.77557127,5.31745356
Pam16,0.00000000,-0.76872187,4.45490847
Acsm1,0.00000000,-0.76375987,5.20489016
Cyp2c68,0.00000000,-0.76263668,4.51341591
Mpst,0.00000000,-0.73629350,5.77205762
Nln,0.00000000,-0.69790950,5.08402253
Pdk2,0.00000000,-0.59549810,4.50364928
Coasy,0.00000000,-0.49419576,5.40440558
L2hgdh,0.00000000,-0.48108565,4.63753768
Agxt2,0.00000000,-0.39662531,5.24656401
Acad10,0.00000000,-0.31247578,7.05485881
Aldh4a1,0.00000000,-0.26152223,5.70157846
Acsm3,0.00000000,-0.23455019,7.36884469
Mrps18a,0.00000000,2.22193157,6.04805593
Dnajc3,0.00000000,0.40797502,5.98225411
Fndc3a,0.00000000,0.47264539,7.97285913
Txndc5,0.00000000,0.51773059,4.60350037
Ncln,0.00000000,0.55707264,4.71534667
Slc25a1,0.00000000,0.58892375,6.09115113
Bhmt,0.00000000,0.60803576,5.04666034
Cyp4v2,0.00000000,0.62049120,4.76039199
Mbl2,0.00000000,0.64385541,5.69721647
Acad11,0.00000000,0.65453077,7.59874641
Cyp1a2,0.00000000,0.66515372,5.81647643
Ssr1,0.00000000,0.66538399,4.45548364
Ces2c,0.00000000,0.84710424,7.96164513
Rpl26,0.00000000,0.86341954,6.27230534
Htra2,0.00000000,0.87074714,4.43488994
Iyd,0.00000000,0.87898729,5.57070897
Bsg,0.00000000,0.90837445,6.71752493
Rps11,0.00000000,0.96660909,6.59444331
Pex6,0.00000000,1.05212083,5.41267650
Mlec,0.00000000,1.12565462,4.94157094
Tmem205,0.00000000,1.15811975,7.49503670
Slc39a7,0.00000000,1.16423985,4.47749946
Slc25a30,0.00000000,1.22568758,4.60740695
Tmem120a,0.00632910,1.28994924,4.57168626
Sec63,0.00000000,1.29187275,5.33403935
Slc35a3,0.00000000,1.35778070,6.72989507
 C19orf52 homo,0.00000000,1.48336365,7.27472938
Rps23,0.00000000,1.57991698,6.24017259
Ssr3,0.00000000,1.59996366,6.99763284
Ptplb,0.00000000,0.81559468,4.30092209
Phyh,0.00000000,-0.75889733,4.30000304
Nudt6,0.00000000,-1.06581803,4.28914762
Fmo1,0.00000000,1.11156124,4.26020522
Alg2,0.00000000,1.53496246,4.24990977
Acsl1,0.00000000,-0.68014668,4.24156630
Mrps27,0.00000000,-0.50074254,4.22311569
Mrps22,0.00000000,0.37104208,4.14889055
Sel1l,0.00000000,1.08393343,4.12724397
Oma1,0.00000000,-0.84444242,4.08104945
Rpl13,0.00000000,0.59798810,4.03062254
Hsd17b8;H2-Ke6,0.00000000,0.53380268,4.02200081
Dars2,0.00000000,-0.64851427,4.00414943
Gapdh;Gm3839;Gm7293;Gm5069,0.00000000,1.10842592,4.00280200
Faah,0.00000000,-0.44006150,3.98048932
Fhit,0.00000000,-0.41270715,3.96753275
