NDUFB9,ATP5S,NDUFB9
COX7A1,MT-CYB,MT-ND5
UQCR10,COX7A1,COX7A1
COX5A,COX5A,ATP5F1
NDUFA12,NDUFB7,UQCR10
NDUFA1,MT-CO3,NDUFA12
NDUFB7,MT-ND1,MT-ND3
NDUFV3,NDUFA8,NDUFV3
ATP5J,COX10,ATP5J
MT-ND2,NDUFA9,NDUFA5
COX7A2,NDUFA7,MT-ND2
ATP5O,NDUFA6,MT-ND1
NDUFA7,MT-ND4L,SDHB
NDUFA9,SDHD,ATP5O
NDUFA6,ATPAF1,NDUFA9
ATP5A1,NDUFV2,UQCR11
ATPAF1,MT-ATP6,SDHD
ATP5C1,MT-CO1,MT-ND4L
ATP5G2,SDHA,ATP5C1
NDUFS8,COX15,ATP5B
NDUFV2,NDUFV1,NDUFV2
SDHC,NDUFA2,NDUFS8
MT-ND4,NDUFAB1,MT-ND4
COX4I1,NDUFS4,MT-ATP6
SDHA,CYC1,UQCRC1
COX15,NDUFS1,MT-CO1
ATP5D,NDUFS2,NDUFS7
NDUFAB1,UQCRQ,SDHA
Cox6c,NDUFS3,ATP5D
NDUFS4,NDUFS6,NDUFAB1
NDUFA4,ATP5H,Cox6c
NDUFB6,NDUFB11,NDUFS4
NDUFA3,ATPAF2,CYC1
NDUFA11,NDUFB5,NDUFA4
NDUFS6,,NDUFS2
ATP5H,,CYB5A
ATP5J2,,ATP5L
ATPAF2,,NDUFA3
NDUFB5,,NDUFS6
NDUFB4,,ATP5J2
,,COX8A
,,ATPAF2
