Term	Overlap	P-value	Adjusted P-value	minuslogQval	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CD36_human_tf_ARCHS4_coexpression	89/299	0.00	0.00	7.69	0.00	0.00	-1.62	40.79	SYNM;HSPB6;FAM89A;C2CD2;MOGAT1;GBE1;PDE3B;HTR2B;PTPRM;ADIRF;PYGL;LRRC32;CHRDL1;LIPE;DOCK11;C1QTNF1;FCGRT;CASP4;AP1S2;SYNPO;GYG2;LMCD1;SH3D19;SH3GLB1;DGAT2;MME;PLEKHG6;ANO6;DUSP27;SPTB;ADRA2A;MRAP;ABCA10;F8;FNDC4;MRAS;MYL2;TNMD;LGALS12;GPD1;RDH5;HRASLS5;PLIN1;FKBP5;CFD;PFKFB1;CEBPA;PFKFB3;LRP1;EPAS1;ADH1B;NPR1;PTGER3;MGST1;GMPR;THBS4;CLEC3B;ARHGAP20;APOL6;CYB5R3;PRKAR2B;MARC1;CMYA5;NRAP;SLC19A3;STOM;RILP;CD300LG;SASH1;AOC3;HTATSF1P2;LVRN;CIDEA;NR1H3;CYBRD1;ABCA8;DEFB132;CIDEC;MARCH2;FABP3;FABP4;GPAM;SCD;CILP;LEP;FASN;TCAP;THRSP;PRRT4
ZFP36_human_tf_ARCHS4_coexpression	78/299	0.00	0.00	3.94	0.00	0.00	-1.56	24.67	DENND1C;CSRNP1;BTG2;CIITA;DOCK8;LST1;TNFAIP3;PIK3CD;LSP1;ARRB2;ITGAL;LIMD2;CASP12;FCGRT;PSD4;NFKBIZ;TAGAP;RAC2;TBC1D10C;PDE4B;MAP3K8;PIM2;IER2;MYLIP;DUSP2;PHYKPL;SYTL1;TMC8;FOS;TNFRSF1B;RUNX3;EML3;HLA-E;RHOB;APBB1IP;FGR;ZAP70;KCNQ1;IRF1;ADAM8;LCP2;ATF3;ZNF276;CFD;PFKFB3;AKNA;RGS14;KLRB1;CEBPD;CXCR4;CFP;SAMHD1;CORO1A;AGER;ZFP36L1;SOCS3;DPP7;TMEM127;CD300LB;ICOS;APOL3;PLK3;JUN;JUND;GADD45B;LILRB2;KLF4;NR4A2;PTPRE;NR4A1;RGCC;ATG16L2;CCDC88C;BCL3;FOSB;IL7R;NFKBID;MYO1F
IGHM_human_tf_ARCHS4_coexpression	77/299	0.00	0.00	3.80	0.00	0.00	-1.59	23.94	DENND1C;CIITA;TRAF3IP3;IGHV3-21;IGHV3-23;IGHV1-2;IGHV4-34;PIK3CD;IGHV1-46;IGHV4-39;LSP1;IKZF3;ETS1;LIMD2;JCHAIN;IGHG3;IGHG1;SEPT6;IGKV1-16;IGKV1-17;PPP6R1;PSD4;RAC2;TBC1D10C;IGLC3;IGHV3-7;IGHV5-51;IGHV3-73;IGHV3-74;FCRL5;SP110;PRKCB;SYTL1;TMC8;ARHGEF18;ANXA11;RUNX3;HLA-E;APBB1IP;BANK1;PACS1;IGKV4-1;RAPGEF1;IRF8;CD48;MS4A1;IGKV2-30;AKNA;RGS14;NCF1B;IGHV4-59;DTX1;IGHV3-49;LY9;CORO1A;KIAA0040;POLD4;IGLV3-27;IGLV1-40;IGKC;IGLV3-21;IGLV1-44;SUSD3;IGHA1;IGKV3-11;IGHA2;S1PR4;DENND4B;IGHV3-53;IGKV1-5;IGHV3-15;NFATC1;ISG20;IGLV1-51;IGHGP;CD22;IGKV3-20
PPARG_human_tf_ARCHS4_coexpression	76/299	0.00	0.00	3.60	0.00	0.00	-1.60	22.91	NRP1;FAM89A;C2CD2;MOGAT1;GBE1;PDE3B;GDE1;ADIRF;PYGL;CHRDL1;TSKU;PQLC2L;ZDHHC3;EPS8;LIPE;BAIAP2L1;C1QTNF1;CA4;GYG2;SH3D19;ABCC3;DGAT2;ADIPOQ;PLEKHG6;EMP1;ANO6;DKK1;ADRA2A;MRAP;TMEM37;RBP4;CEACAM1;FNDC4;MRAS;LGALS12;GPD1;RDH5;HRASLS5;PLIN1;TNFRSF21;CFD;CEBPA;SLC26A2;LRP1;EPAS1;ADH1B;NPR1;MGST1;MST1R;TRHDE;HSD11B2;CLEC3B;ARHGAP20;CYB5R3;TSPAN8;PRKAR2B;MARC1;SLC19A3;CD300LG;AOC3;LVRN;CIDEA;NR1H3;CYBRD1;ARHGAP29;DEFB132;FERMT1;FABP4;KLF5;GPAM;TMEM54;SCD;CILP;LEP;NABP1;THRSP
TBX20_human_tf_ARCHS4_coexpression	75/299	0.00	0.00	3.47	0.00	0.00	-1.62	22.18	SYNM;PTPRM;PTPN21;EMC10;LAMC1;SIPA1L2;SLC4A3;NPPB;RGS5;C1QTNF1;XPO4;NPPA;DAG1;SPEG;PGM5;A4GALT;MYOZ2;MEF2A;ACTN2;DUSP27;MYL4;SFRP1;F8;MRAS;OBSCN;SYNPO2L;MMP15;MYL2;TNNT2;SLC27A6;ALPK3;ALPK2;ITGB1BP2;MFGE8;PHLDB2;MYH6;MATN2;ITGA9;POPDC2;HACD1;PKDCC;GATA5;NEXN;CRIP2;PRSS44;NID2;PRSS42;TTN;INPP5A;GPC1;CMYA5;SMYD1;DMD;SLIT3;MAP4;FLNC;SH3BGR;TGFB2;DMPK;SAMD4A;ABCA8;USP28;TBX18;BMP5;COL3A1;FABP3;BMP2;DES;FRAS1;CILP;DLC1;SLMAP;HRC;STRN;PAM
ATF3_human_tf_ARCHS4_coexpression	75/299	0.00	0.00	3.47	0.00	0.00	-1.61	22.01	CSRNP1;IL1RN;BTG2;CDKN1A;CD83;CXCL8;TNFAIP3;CXCL3;CXCL2;ETS2;HK2;ICAM1;LACTB;GPR132;ZFP36;ARL5B;PNP;FCGRT;CCRL2;NFKBIZ;FLVCR2;SLC26A11;MAP3K8;CTSD;ABCD1;CTSB;DUSP2;SERPINB2;MREG;VPS37C;PLAUR;EMP1;TNFRSF1B;MMP9;NPC2;IL1B;NINJ1;MAPKAPK2;RAPGEF1;CHMP4B;C11ORF96;GRN;PFKFB3;SLC43A2;BCL2A1;CEBPD;INSIG1;PTGS2;SOCS3;DNAJB1;SERTAD1;HLX;CCL2;C11ORF45;SLC25A25;PLK3;EGR2;JUN;JUND;GADD45B;NR1H3;LILRB1;LILRB2;KLF4;GPR137B;NR4A1;SPSB1;IL6;RGCC;BCL3;SNAI1;TNFSF9;FOSB;LGMN;SLC28A3
TBX15_human_tf_ARCHS4_coexpression	74/299	0.00	0.00	3.34	0.00	0.00	-1.64	21.22	CLIC5;SYNM;HSPB6;GBE1;SETD7;KLHL34;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;ADAMTS5;C10ORF71;XPO4;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;LMCD1;MYOZ2;SCN1B;ACTN3;ACTN2;S100A1;CACNA2D1;TPM2;SHISA4;SYPL2;DUSP27;SPTB;ACTA1;OBSCN;SYNPO2L;PPP1R3B;TNNT1;MYOT;MYL2;TNNT3;ALPK3;ALPK2;OPTN;FBP2;RTN2;PFKFB1;SYNPO2;AK1;NEXN;PRSS42;TTN;ABLIM2;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;DMD;MAP4;FLNC;SH3BGR;DMPK;AGL;ANKRD23;SAMD4A;DUPD1;FABP3;DES;NT5C1A;HRC;TCAP
NFE2L1_human_tf_ARCHS4_coexpression	74/299	0.00	0.00	3.34	0.00	0.00	-1.61	20.82	CLIC5;SYNM;CHPF;HSPB6;MAST2;INPPL1;LAMC1;SMG5;MYPN;DUSP13;NDST1;C10ORF71;MPRIP;SLN;CA3;C6ORF106;DAG1;SDF4;CAPN3;SPEG;SYNPO;PRKACA;MYOZ1;MYOZ2;CLUH;USP5;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;SREBF2;ACTA1;OBSCN;PKM;TNNT1;MYOT;MYL2;TNNT3;ERF;CHMP4B;ALPK3;CUEDC1;ERGIC1;FBP2;GTF3C1;PFKFB1;TMEM63B;APH1A;GPC1;CMYA5;NACC1;NRAP;PACSIN3;MLEC;SMYD1;PLXNA1;MAP4;FLNC;YKT6;DMPK;ANKRD23;SAMD4A;DUPD1;DES;SH3BP5L;NFIC;NT5C1A;CARM1;MGAT4B;HRC;NUCB1;TCAP
PPP2R3B_human_tf_ARCHS4_coexpression	74/299	0.00	0.00	3.34	0.00	0.00	-1.60	20.72	CLIC5;SYNM;HSPB6;MAST2;KLHL34;EMC10;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;PRKACA;MYOZ1;MAF1;LMCD1;MYOZ2;ACTN3;ACTN2;S100A1;TPM2;GPT2;SHISA4;SYPL2;DUSP27;SPTB;RNF123;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT2;TNNT3;ALPK3;ITGB1BP2;FBP2;POPDC2;RTN2;PFKFB1;SYNPO2;AK1;NEXN;TTN;ABLIM2;DNAJB5;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;FLNC;SH3BGR;DMPK;AGL;ANKRD23;DUPD1;MAPK12;P2RX6;FABP3;DES;NT5C1A;CARM1;HRC;TCAP
MYOD1_human_tf_ARCHS4_coexpression	73/299	0.00	0.00	3.14	0.00	0.00	-1.62	19.90	CLIC5;SYNM;HSPB6;LRRC38;SETD7;KLHL34;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;PRKACA;MYOZ1;LMCD1;MYOZ2;SCN1B;CHRNB1;ACTN3;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;SPTB;MYL4;RNF123;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;ITGB1BP2;FBP2;RTN2;PFKFB1;SYNPO2;AK1;NEXN;TTN;ABLIM2;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;FLNC;SH3BGR;DMPK;AGL;ANKRD23;SAMD4A;DUPD1;MAPK12;SMOC2;P2RX6;FABP3;DES;NT5C1A;HRC;TCAP
RXRG_human_tf_ARCHS4_coexpression	73/299	0.00	0.00	3.14	0.00	0.00	-1.61	19.75	ANKRD39;CLIC5;SYNM;HSPB6;EMC10;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;PPP3CB;C10ORF71;XPO4;SLN;CA3;CFL2;MPZ;SPEG;MYOZ3;ANKRD2;SYNPO;MYOZ1;LMCD1;MYOZ2;SCN1B;ACTN3;ACTN2;S100A1;CACNA2D1;TPM2;SHISA4;SYPL2;DUSP27;SPTB;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;ALPK2;ITGB1BP2;FBP2;MYH6;RTN2;PFKFB1;SYNPO2;AK1;TTN;EGFLAM;ABLIM2;DNAJB5;CMYA5;NRAP;ST3GAL5;PACSIN3;SMYD1;XIRP2;DMD;FLNC;SH3BGR;COL22A1;AGL;ANKRD23;DUPD1;FABP3;DES;NT5C1A;NEURL1;HRC;TCAP
RBM20_human_tf_ARCHS4_coexpression	71/299	0.00	0.00	2.76	0.00	0.00	-1.70	18.61	CLIC5;SYNM;HSPB6;SLC4A3;ABRA;MYPN;DUSP13;MYOM3;NPPB;KBTBD12;C10ORF71;SLN;CA3;CFL2;NPPA;SPEG;MYOZ3;PGM5;ANKRD2;SYNPO;MYOZ1;MYOZ2;ACTN2;S100A1;DUSP27;SPTB;MYL4;F8;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT2;TNNT3;SLC27A6;ALPK3;ALPK2;ITGB1BP2;SAXO2;MYH6;FBP2;ATPAF1;POPDC2;USP27X;SYNPO2;NEXN;PRSS44;PRSS42;THBS4;TTN;CMYA5;NRAP;TBX20;SMYD1;XIRP2;DMD;FLNC;SH3BGR;DMPK;ANKRD23;ABCA9;SAMD4A;DUPD1;ABCA8;FABP3;DES;TSPAN19;NT5C1A;HRC;TCAP
LBX1_human_tf_ARCHS4_coexpression	72/299	0.00	0.00	2.98	0.00	0.00	-1.59	18.42	CLIC5;SYNM;HSPB6;LRRC38;MAST2;KLHL34;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;PPP3CB;C10ORF71;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;PRKACA;MYOZ1;LMCD1;MYOZ2;SCN1B;ACTN3;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;SPTB;RNF123;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;ALPK3;OPTN;FBP2;RTN2;PFKFB1;SYNPO2;AK1;NEXN;GMPR;PPM1J;TTN;ABLIM2;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;FLNC;SH3BGR;DMPK;AGL;ANKRD23;DUPD1;MAPK12;FABP3;DES;NT5C1A;NEURL1;HRC;TCAP
SIX1_human_tf_ARCHS4_coexpression	72/299	0.00	0.00	2.98	0.00	0.00	-1.59	18.42	CLIC5;SYNM;HSPB6;LRRC38;MAST2;SETD7;KLHL34;ABRA;MYPN;DUSP13;MYOM3;KBTBD12;C10ORF71;SLN;CA3;CFL2;CAPN3;SPEG;MYOZ3;ANKRD2;SYNPO;PRKACA;MYOZ1;LMCD1;MYOZ2;ACTN3;ACTN2;S100A1;TPM2;SHISA4;SYPL2;DUSP27;ACTA1;OBSCN;SYNPO2L;TNNT1;MYOT;MYL2;TNNT3;GPD1;ALPK3;FBP2;RTN2;PFKFB1;PKDCC;SYNPO2;AK1;NEXN;TTN;EGFLAM;CMYA5;NRAP;PACSIN3;SMYD1;XIRP2;MAP4;FLNC;SH3BGR;TGFB2;DMPK;AGL;ANKRD23;NR2F1;SAMD4A;DUPD1;MAPK12;FABP3;DES;NT5C1A;HRC;TCAP;AMOTL1
