Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
TCA Cycle_Homo sapiens_WP78	2/17	0.0003754439054364021679556506772001966965035535395145416259765625	0.0105124293522192609195986534587063943035900592803955078125	0.0004245171387257403827590607203745776132564060389995574951171875	0.01188647988432073136777500366179083357565104961395263671875	-2.219182517613285	17.503583483223593	MDH2;IDH3B
TCA Cycle_Mus musculus_WP434	2/30	0.00118435417044756153941154064312968330341391265392303466796875	0.0165809583862658628528041759864208870567381381988525390625	0.0012171291268455834699846462854111450724303722381591796875	0.017039807775838168579785047995756031014025211334228515625	-2.001608323447925	13.487953093895312	MDH2;IDH3B
Glycolysis and Gluconeogenesis_Mus musculus_WP157	2/48	0.00301291738628756654294615913158850162290036678314208984375	0.0219645351553861035986958682997283176518976688385009765625	0.0029580503356999407645055999438454819028265774250030517578125	0.0215322577365240595825834901688722311519086360931396484375	-1.8668258332853136	10.836637289268909	PKM;MDH2
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	2/49	0.0031377907364837291474823910419900130364112555980682373046875	0.0219645351553861035986958682997283176518976688385009765625	0.003076036819503437207135032593896539765410125255584716796875	0.0215322577365240595825834901688722311519086360931396484375	-1.8653380891103621	10.75224955076917	PKM;MDH2
Amino Acid metabolism_Mus musculus_WP662	2/92	0.01067127049851611560182806925922704976983368396759033203125	0.059759114791690250145794749414562829770147800445556640625	0.0101477297809757886770665180620198952965438365936279296875	0.056827286773464415203793720365865738131105899810791015625	-1.9231159649715817	8.731331390191142	PKM;MDH2
Estrogen Receptor Pathway_Homo sapiens_WP2881	1/13	0.02188247785873921602561864574454375542700290679931640625	0.1021182300074496840380788853508420288562774658203125	0.023198896814829762791365652674357988871634006500244140625	0.108261518469205564318968981751822866499423980712890625	-1.410579455629163	5.39133209429029	GPAM
Triacylglyceride Synthesis_Homo sapiens_WP325	1/24	0.04003479286480808585491075746176647953689098358154296875	0.1120974200214626403937501208929461427032947540283203125	0.041085553426364572471296554567743442021310329437255859375	0.1150395495938208167974181606041383929550647735595703125	-1.6279948117095413	5.238897692843018	GPAM
Apoptosis Modulation by HSP70_Homo sapiens_WP384	1/19	0.03182464368980610081028004287873045541346073150634765625	0.109252419255508492756945315704797394573688507080078125	0.03299212787702705818038140250791911967098712921142578125	0.11273685504345699881501019490315229631960391998291015625	-1.4140827632274544	4.87507059077164	AIFM1
Triacylglyceride Synthesis_Mus musculus_WP386	1/21	0.035116849046413441126635035516301286406815052032470703125	0.109252419255508492756945315704797394573688507080078125	0.03623684626396832253458768491327646188437938690185546875	0.11273685504345699881501019490315229631960391998291015625	-1.4472552381731916	4.846965228007072	GPAM
Apoptosis Modulation by HSP70_Mus musculus_WP166	1/16	0.0268658842077706787321300652138233999721705913543701171875	0.10746353683108271492852026085529359988868236541748046875	0.02810661389976716606486917271467973478138446807861328125	0.11242645559906867813726449867317569442093372344970703125	-1.3261096656848412	4.796403453746329	AIFM1
Inflammatory Response Pathway_Homo sapiens_WP453	1/30	0.0497977987764681717663961535436101257801055908203125	0.11619486381175907208085362753990921191871166229248046875	0.050717159497741685914018461289742845110595226287841796875	0.118340038828063931486411775040323846042156219482421875	-1.495903469079552	4.4873880358587845	LAMC1
