VDAC3,ATP5S,VDAC3
UQCR10,MT-CYB,MT-ND5
COX5A,VDAC1,ATP5F1
NDUFB7,COX7A1,DHODH
NDUFA1,COX5A,UQCR10
MT-ND2,OGDH,MT-ND3
FIS1,CPT1A,NDUFAF1
NDUFAF2,NDUFB7,NDUFA5
NDUFA7,NDUFAF1,MT-ND2
NDUFA9,MT-CO3,FIS1
ATP5A1,MT-ND1,NDUFAF2
ATP5C1,NDUFAF2,SDHB
ATPAF1,NDUFA8,CAT
SDHC,GPX4,NDUFA9
COX4I1,COX10,SDHD
COX15,GSR,MT-ND4L
CPT1B,NDUFA9,ATP5C1
NDUFAB1,NDUFA7,ATP5B
NDUFS4,NDUFA6,MT-ATP6
NDUFA4,MT-ND4L,UQCRC1
SOD2,SDHD,MT-CO1
PRDX5,TXNRD2,NDUFS7
NDUFA11,ATPAF1,HTRA2
NDUFS6,NDUFV2,NDUFAB1
ATPAF2,MT-ATP6,NDUFS4
NDUFB9,MT-CO1,CYC1
VDAC1,PARK7,SOD2
COX7A1,HTRA2,NDUFA4
NDUFA12,SDHA,PRDX5
OGDH,COX15,VDAC2
CPT1A,NDUFV1,AIFM1
NDUFV3,NDUFA2,NDUFS6
ATP5J,NDUFAB1,ATPAF2
COX7A2,NDUFS4,NDUFB9
ATP5O,CYC1,VDAC1
NDUFA6,NDUFS1,COX7A1
ATP5G2,SOD2,OGDH
NDUFS8,NDUFS2,NDUFA12
NDUFV2,UQCRQ,NDUFV3
MT-ND4,NDUFS3,ATP5J
HSD17B10,VDAC2,MT-ND1
SDHA,ATP5H,ATP5O
ATP5D,NDUFS6,GPX4
Cox6c,NDUFB11,UQCR11
NDUFB6,ATPAF2,NDUFV2
NDUFA3,NDUFB5,NDUFS8
ATP5H,MAOB,MT-ND4
ATP5J2,,RHOT2
NDUFB5,,SDHA
NDUFB4,,ATP5D
,,PDHA1
,,Cox6c
,,NCSTN
,,NDUFS2
,,CYB5A
,,PSEN2
,,ATP5L
,,NDUFA3
,,ACO1
,,ATP5J2
,,COX8A
