"","Community","Gene.Symbol"
"Mgst3",5,"Mgst3"
"Tefm",24,"Tefm"
"Ndufb5",5,"Ndufb5"
"Atp5a1",2,"Atp5a1"
"Pcca",3,"Pcca"
"Tcaim",4,"Tcaim"
"TCAIM",4,"TCAIM"
"Hars2",4,"Hars2"
"Dars2",3,"Dars2"
"Tmem261",15,"Tmem261"
"Foxred1",15,"Foxred1"
"Atad1",3,"Atad1"
"Ldhd",15,"Ldhd"
"Ndufab1",3,"Ndufab1"
"Mp68",3,"Mp68"
"Timm9",4,"Timm9"
"Aldh2",3,"Aldh2"
"Mpc2",17,"Mpc2"
"Mcee",2,"Mcee"
"Mdh2",4,"Mdh2"
"Bphl",29,"Bphl"
"Idh3a",2,"Idh3a"
"Rdh14",17,"Rdh14"
"mt-Atp8",15,"mt-Atp8"
"Mtatp8",15,"Mtatp8"
"Pgam2",24,"Pgam2"
"Pgam1",24,"Pgam1"
"Atpif1",15,"Atpif1"
"Ctsb",1,"Ctsb"
"Aars2",15,"Aars2"
"Nfu1",4,"Nfu1"
"Trap1",15,"Trap1"
"Mpc1",15,"Mpc1"
"Mlycd",3,"Mlycd"
"Surf1",11,"Surf1"
"Hint2",2,"Hint2"
"Actr1b",3,"Actr1b"
"Echdc1",15,"Echdc1"
"Ckmt2",20,"Ckmt2"
"Adck1",2,"Adck1"
"Uqcr10",3,"Uqcr10"
"Acad8",2,"Acad8"
"Dbt",3,"Dbt"
"Tomm7",3,"Tomm7"
"Adck3",3,"Adck3"
"Hadhb",15,"Hadhb"
"Fh",15,"Fh"
"Spg7",3,"Spg7"
"Mrpl4",5,"Mrpl4"
"Bckdk",15,"Bckdk"
"Cox7a1",3,"Cox7a1"
"Hk1",2,"Hk1"
"Carkd",2,"Carkd"
"Lace1",3,"Lace1"
"Cox7c",3,"Cox7c"
"Usmg5",15,"Usmg5"
"Suclg1",3,"Suclg1"
"Uqcrh",15,"Uqcrh"
"Supv3l1",33,"Supv3l1"
"Ndufa3",15,"Ndufa3"
"Msrb2",2,"Msrb2"
"Mcat",2,"Mcat"
"Hibch",2,"Hibch"
"Cpt1a",5,"Cpt1a"
"Nudt8",4,"Nudt8"
"Mrpl23",2,"Mrpl23"
"Hspe1",15,"Hspe1"
"Sdhc",7,"Sdhc"
"mt-Nd4",18,"mt-Nd4"
"Mtnd4",18,"Mtnd4"
"Acss1",3,"Acss1"
"Ndufa7",2,"Ndufa7"
"Them4",1,"Them4"
"Ndufa12",2,"Ndufa12"
"Pdp1",7,"Pdp1"
"Mrpl14",2,"Mrpl14"
"Nars2",3,"Nars2"
"Chchd6",15,"Chchd6"
"Cars2",15,"Cars2"
"Hspd1",26,"Hspd1"
"Mipep",3,"Mipep"
"Samm50",3,"Samm50"
"Atp5g2",3,"Atp5g2"
"Atp5g1",3,"Atp5g1"
"Atp5g3",3,"Atp5g3"
"Idh3g",2,"Idh3g"
"Prdx5",2,"Prdx5"
"Atpaf1",15,"Atpaf1"
"Lactb",6,"Lactb"
"Tha1",3,"Tha1"
"Mthfsl",3,"Mthfsl"
"Mthfs",3,"Mthfs"
"Timm8a1",6,"Timm8a1"
"Timm8a2",6,"Timm8a2"
"Dap3",2,"Dap3"
"Ndufv3",3,"Ndufv3"
"Rexo2",29,"Rexo2"
"Nudt6",5,"Nudt6"
"Tnxb",5,"Tnxb"
"Isca2",15,"Isca2"
"Ucp3",5,"Ucp3"
"Ndufb7",2,"Ndufb7"
"Trmu",11,"Trmu"
"Rab10",1,"Rab10"
"Timmdc1",2,"Timmdc1"
"Atp5c1",7,"Atp5c1"
"Ppox",3,"Ppox"
"Mrpl17",3,"Mrpl17"
"Cox5b",15,"Cox5b"
"Dnaja3",2,"Dnaja3"
"Higd2a",4,"Higd2a"
"Cox6c",15,"Cox6c"
"Ndufa9",2,"Ndufa9"
"AK157302",2,"AK157302"
"Isca1",2,"Isca1"
"Glrx5",15,"Glrx5"
"Flad1",15,"Flad1"
"Ndufb4",2,"Ndufb4"
"Ndufaf2",3,"Ndufaf2"
"Ndufv3.1",4,"Ndufv3.1"
"Dnajc4",2,"Dnajc4"
"Mtx2",2,"Mtx2"
"Cox7c.1",3,"Cox7c.1"
"Myh7",3,"Myh7"
"Mrpl2",5,"Mrpl2"
"Fam162a",17,"Fam162a"
"Mrpl19",20,"Mrpl19"
"Atp5j",3,"Atp5j"
"Ndufs6",15,"Ndufs6"
"Romo1",3,"Romo1"
"Ndufa11",5,"Ndufa11"
"Myh4",2,"Myh4"
"Myh1",2,"Myh1"
"Timm22",3,"Timm22"
"Hsd17b10",2,"Hsd17b10"
"Mut",2,"Mut"
"9030617O03Rik",11,"9030617O03Rik"
"Myh6",2,"Myh6"
"Iqcg",1,"Iqcg"
"Vdac3",27,"Vdac3"
